name,rookie_year,rookie_age,Y1_pts_per_g,Y1_ast_per_g,Y1_trb_per_g,Y1_stl_per_g,Y1_blk_per_g,Y1_mp_per_g,Y1_games_started,Y1_per,Y1_ts_pct,Y1_usg_pct,Y1_ws,Y1_bpm,Y2_pts_per_g,Y2_ast_per_g,Y2_trb_per_g,Y2_stl_per_g,Y2_blk_per_g,Y2_mp_per_g,Y2_games_started,Y2_per,Y2_ts_pct,Y2_usg_pct,Y2_ws,Y2_bpm,Y3_pts_per_g,Y3_ast_per_g,Y3_trb_per_g,Y3_stl_per_g,Y3_blk_per_g,Y3_mp_per_g,Y3_games_started,Y3_per,Y3_ts_pct,Y3_usg_pct,Y3_ws,Y3_bpm,Y4_pts_per_g,Y4_ast_per_g,Y4_trb_per_g,Y4_stl_per_g,Y4_blk_per_g,Y4_mp_per_g,Y4_games_started,Y4_per,Y4_ts_pct,Y4_usg_pct,Y4_ws,Y4_bpm,Y5_pts_per_g,Y5_ast_per_g,Y5_trb_per_g,Y5_stl_per_g,Y5_blk_per_g,Y5_mp_per_g,Y5_games_started,Y5_per,Y5_ts_pct,Y5_usg_pct,Y5_ws,Y5_bpm,Y6_pts_per_g,Y6_ast_per_g,Y6_trb_per_g,Y6_stl_per_g,Y6_blk_per_g,Y6_mp_per_g,Y6_games_started,Y6_per,Y6_ts_pct,Y6_usg_pct,Y6_ws,Y6_bpm,Y7_pts_per_g,Y7_ast_per_g,Y7_trb_per_g,Y7_stl_per_g,Y7_blk_per_g,Y7_mp_per_g,Y7_games_started,Y7_per,Y7_ts_pct,Y7_usg_pct,Y7_ws,Y7_bpm,Y8_pts_per_g,Y8_ast_per_g,Y8_trb_per_g,Y8_stl_per_g,Y8_blk_per_g,Y8_mp_per_g,Y8_games_started,Y8_per,Y8_ts_pct,Y8_usg_pct,Y8_ws,Y8_bpm,Y9_pts_per_g,Y9_ast_per_g,Y9_trb_per_g,Y9_stl_per_g,Y9_blk_per_g,Y9_mp_per_g,Y9_games_started,Y9_per,Y9_ts_pct,Y9_usg_pct,Y9_ws,Y9_bpm,Y10_pts_per_g,Y10_ast_per_g,Y10_trb_per_g,Y10_stl_per_g,Y10_blk_per_g,Y10_mp_per_g,Y10_games_started,Y10_per,Y10_ts_pct,Y10_usg_pct,Y10_ws,Y10_bpm
Carmelo Anthony*,2004,19,21.0,2.8,6.1,1.2,0.5,36.5,82.0,17.6,0.509,28.5,6.1,0.1,20.8,2.6,5.7,0.9,0.4,34.8,75.0,16.7,0.526,29.2,4.9,-1.2,26.5,2.7,4.9,1.1,0.5,36.8,80.0,22.0,0.563,32.0,9.4,2.7,28.9,3.8,6.0,1.2,0.4,38.2,65.0,22.1,0.552,33.4,7.3,1.9,25.7,3.4,7.4,1.3,0.5,36.4,77.0,21.1,0.568,30.2,8.2,1.6,22.8,3.4,6.8,1.1,0.4,34.5,66.0,19.0,0.532,31.5,5.0,0.5,28.2,3.2,6.6,1.3,0.4,38.2,69.0,22.2,0.548,33.4,7.9,2.3,25.6,2.9,7.3,0.9,0.6,35.7,77.0,21.7,0.557,32.0,7.9,1.9,22.6,3.6,6.3,1.1,0.4,34.1,55.0,21.1,0.525,31.8,6.2,3.6,28.7,2.6,6.9,0.8,0.5,37.0,67.0,24.8,0.56,35.6,9.5,4.3
Leandro Barbosa,2004,21,7.9,2.4,1.8,1.3,0.1,21.4,46.0,12.7,0.553,18.6,1.9,-0.8,7.0,2.0,2.1,0.5,0.1,17.3,6.0,12.8,0.575,18.9,1.8,-1.5,13.1,2.8,2.6,0.8,0.1,27.9,11.0,15.1,0.589,20.3,3.8,-0.1,18.1,4.0,2.7,1.2,0.2,32.7,18.0,18.4,0.595,23.4,8.2,2.7,15.6,2.6,2.8,0.9,0.2,29.5,12.0,15.8,0.575,22.8,5.5,0.2,14.2,2.3,2.6,1.2,0.1,24.4,11.0,19.4,0.588,24.2,5.0,1.9,9.5,1.5,1.6,0.5,0.3,17.9,5.0,14.0,0.526,24.9,1.1,-2.1,13.3,2.1,1.7,0.9,0.1,24.1,0.0,15.3,0.539,25.6,1.5,-1.3,11.1,1.5,2.0,0.9,0.1,21.6,0.0,14.0,0.512,26.5,1.7,-1.2,5.2,1.4,1.1,0.4,0.1,12.5,2.0,13.5,0.509,21.4,0.9,-0.7
Matt Barnes,2004,23,4.5,1.3,4.0,0.7,0.1,19.1,9.0,10.6,0.519,12.8,0.7,-2.2,3.8,1.3,3.1,0.7,0.2,16.6,9.0,9.0,0.465,13.8,0.4,-3.2,3.1,0.5,2.2,0.4,0.1,11.3,5.0,10.7,0.545,13.8,1.0,-3.1,9.8,2.1,4.6,1.0,0.5,23.9,23.0,14.7,0.547,18.5,3.7,0.9,6.7,1.9,4.4,0.7,0.5,19.4,18.0,12.9,0.51,16.7,2.3,-0.2,10.2,2.8,5.5,0.7,0.3,27.0,40.0,12.6,0.537,18.3,3.0,-0.4,8.8,1.7,5.5,0.7,0.4,25.9,58.0,13.6,0.576,16.2,5.9,1.3,6.7,1.3,4.3,0.7,0.4,19.2,0.0,14.6,0.569,16.6,3.0,0.6,7.8,2.0,5.5,0.6,0.8,22.9,16.0,15.5,0.554,16.4,4.3,1.6,10.3,1.5,4.6,1.0,0.8,25.7,4.0,15.5,0.566,18.1,6.3,1.8
Steve Blake,2004,23,5.9,2.8,1.6,0.8,0.1,18.6,14.0,10.9,0.509,17.9,0.7,-2.7,4.3,1.6,1.6,0.3,0.0,14.7,1.0,8.4,0.468,16.4,0.3,-4.0,8.2,4.5,2.1,0.6,0.1,26.2,57.0,14.5,0.549,15.8,2.8,-1.0,6.4,5.0,2.1,0.7,0.1,27.1,42.0,9.9,0.491,13.0,2.1,-2.0,8.5,5.1,2.4,0.7,0.0,29.9,78.0,12.0,0.518,15.3,3.8,-0.5,11.0,5.0,2.5,1.0,0.1,31.7,69.0,14.4,0.557,17.0,5.8,1.5,7.3,4.8,2.3,0.7,0.1,27.0,38.0,11.6,0.539,14.5,3.3,-0.5,4.0,2.2,2.0,0.5,0.0,20.0,0.0,7.5,0.5,11.3,1.8,-2.3,5.2,3.3,1.6,0.7,0.0,23.3,5.0,8.5,0.493,13.0,1.0,-2.5,7.3,3.8,2.9,0.8,0.1,26.1,13.0,11.7,0.573,13.2,2.4,0.5
Keith Bogans,2004,23,6.8,1.3,4.3,0.6,0.1,24.5,36.0,11.0,0.499,14.5,1.3,-2.4,9.6,1.8,3.1,0.9,0.1,24.2,42.0,10.4,0.465,22.0,0.1,-3.9,8.6,1.8,3.5,1.0,0.1,26.6,31.0,10.7,0.497,17.2,2.3,-1.4,5.1,1.0,1.6,0.5,0.0,16.8,18.0,9.2,0.546,14.9,1.7,-1.5,8.7,1.3,3.2,0.7,0.1,26.8,35.0,10.9,0.559,14.4,4.9,0.6,5.6,1.0,3.1,0.7,0.1,19.6,15.0,9.7,0.521,14.0,2.5,-0.4,4.4,1.2,2.2,0.6,0.2,19.7,50.0,7.7,0.542,11.0,2.6,-1.2,4.4,1.2,1.8,0.5,0.1,17.8,82.0,9.0,0.559,11.4,3.6,-0.2,4.2,0.6,2.2,0.4,0.0,18.8,1.0,4.8,0.453,12.8,0.0,-7.9,4.2,1.0,1.6,0.4,0.1,19.0,23.0,6.7,0.533,11.2,1.4,-2.6
Chris Bosh*,2004,19,11.5,1.0,7.4,0.8,1.4,33.5,63.0,15.1,0.513,18.3,6.2,-0.8,16.8,1.9,8.9,0.9,1.4,37.2,81.0,17.5,0.547,21.7,6.8,-0.2,22.5,2.6,9.2,0.7,1.1,39.3,70.0,23.2,0.585,25.2,9.8,2.9,22.6,2.5,10.7,0.6,1.3,38.5,69.0,22.6,0.577,26.7,9.6,2.7,22.3,2.6,8.7,0.9,1.0,36.2,67.0,23.8,0.588,27.7,10.1,4.4,22.7,2.5,10.0,0.9,1.0,38.0,77.0,22.1,0.569,26.9,9.7,2.7,24.0,2.4,10.8,0.6,1.0,36.1,70.0,25.0,0.592,28.7,9.6,3.6,18.7,1.9,8.3,0.8,0.6,36.3,77.0,19.4,0.569,23.5,10.3,1.3,18.0,1.8,7.9,0.9,0.8,35.2,57.0,18.9,0.551,24.2,6.9,0.8,16.6,1.7,6.8,0.9,1.4,33.2,74.0,20.0,0.592,22.7,9.0,1.3
Matt Carroll,2004,23,1.2,0.1,0.4,0.1,0.0,4.4,0.0,3.8,0.51,16.5,0.0,-8.2,9.0,0.7,2.4,0.7,0.1,17.2,0.0,14.7,0.517,24.9,0.7,-2.3,7.6,0.4,2.0,0.6,0.1,16.3,6.0,13.9,0.54,20.8,2.6,-0.6,12.1,1.3,2.9,0.7,0.1,26.1,47.0,14.6,0.58,19.9,4.6,0.3,9.0,0.9,2.8,0.6,0.2,25.2,18.0,10.7,0.554,16.1,3.0,-2.0,3.0,0.5,1.3,0.4,0.1,11.2,10.0,5.5,0.451,16.4,-0.1,-4.8,1.8,0.2,0.5,0.2,0.0,4.8,0.0,7.1,0.437,22.7,-0.1,-7.6,4.4,0.4,1.3,0.3,0.1,10.8,1.0,12.2,0.53,19.8,0.8,-2.7,2.7,0.7,1.1,0.3,0.1,11.2,2.0,5.6,0.409,15.3,-0.6,-7.4,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.9,,0.0,0.0,-10.0
Marquis Daniels,2004,23,8.5,2.1,2.6,0.9,0.2,18.6,15.0,20.1,0.536,20.6,3.2,2.3,9.1,2.1,3.6,1.4,0.2,23.5,17.0,14.6,0.484,20.6,2.5,0.6,10.2,2.8,3.6,1.1,0.2,28.5,29.0,14.9,0.535,18.3,4.2,0.5,7.1,1.3,1.8,0.6,0.2,17.8,4.0,11.6,0.506,20.8,0.6,-2.7,8.2,1.9,2.9,1.1,0.2,20.9,1.0,11.6,0.487,20.6,0.9,-2.4,13.6,2.1,4.6,1.1,0.5,31.5,43.0,12.8,0.491,21.5,1.3,-1.9,5.6,1.3,1.9,0.5,0.1,18.4,4.0,9.6,0.526,15.8,1.3,-2.7,5.5,1.3,2.3,0.8,0.4,19.1,0.0,11.7,0.527,15.1,2.0,0.6,3.2,1.2,1.7,0.6,0.2,12.7,0.0,8.1,0.395,18.0,0.1,-3.1,5.5,1.1,2.5,0.9,0.2,18.4,33.0,9.2,0.432,16.9,0.5,-2.9
Boris Diaw,2004,21,4.5,2.4,4.5,0.8,0.5,25.3,37.0,8.8,0.483,11.4,0.8,-2.3,4.8,2.3,2.6,0.6,0.3,18.2,25.0,10.0,0.479,15.5,0.1,-3.5,13.3,6.2,6.9,0.7,1.0,35.5,70.0,17.3,0.564,17.9,8.9,2.8,9.7,4.8,4.3,0.4,0.5,31.1,59.0,13.0,0.57,15.4,4.6,0.4,8.8,3.9,4.6,0.7,0.5,28.1,19.0,12.0,0.516,16.6,3.0,-0.8,13.2,4.1,5.3,0.8,0.7,34.0,59.0,14.4,0.565,19.7,4.7,1.2,11.3,4.0,5.2,0.7,0.7,35.4,82.0,12.8,0.552,16.2,6.2,0.8,11.3,4.1,5.0,0.9,0.6,33.9,82.0,13.9,0.558,16.8,4.8,0.6,6.4,3.6,4.9,0.6,0.4,25.0,35.0,11.2,0.498,15.5,0.6,-1.8,5.8,2.4,3.4,0.7,0.4,22.8,20.0,11.9,0.603,12.0,4.4,0.8
Willie Green,2004,22,6.9,1.0,1.2,0.5,0.1,14.5,0.0,10.8,0.464,27.7,0.0,-3.8,7.7,1.8,2.3,0.6,0.1,18.7,21.0,9.6,0.457,23.0,0.1,-4.1,7.0,0.5,1.5,0.2,0.0,15.3,2.0,8.6,0.513,23.9,-0.1,-6.1,11.3,1.5,2.1,0.8,0.1,24.9,36.0,10.3,0.458,25.7,-0.7,-4.7,12.4,2.0,2.5,0.7,0.3,26.6,74.0,12.8,0.492,23.9,2.1,-1.6,8.5,2.0,1.6,0.7,0.2,22.6,60.0,11.1,0.493,18.9,2.3,-2.1,8.7,2.1,1.8,0.4,0.2,21.3,18.0,12.8,0.538,19.4,2.2,-2.2,8.7,1.0,2.1,0.5,0.2,21.7,13.0,10.8,0.515,20.5,1.8,-2.8,7.6,0.8,1.5,0.4,0.1,17.4,2.0,13.9,0.578,19.5,2.4,-0.5,6.3,0.8,1.3,0.4,0.2,16.5,60.0,11.8,0.562,16.6,2.5,-0.8
