name,url,rookie_year,rookie_age,years_played
LaMarcus Aldridge,https://www.basketball-reference.com/players/a/aldrila01.html,2007,21,16
Lou Amundson,https://www.basketball-reference.com/players/a/amundlo01.html,2007,24,10
J.J. Barea,https://www.basketball-reference.com/players/b/bareajo01.html,2007,22,14
Andrea Bargnani,https://www.basketball-reference.com/players/b/bargnan01.html,2007,21,10
Jordan Farmar,https://www.basketball-reference.com/players/f/farmajo01.html,2007,20,10
Randy Foye,https://www.basketball-reference.com/players/f/foyera01.html,2007,23,11
Rudy Gay,https://www.basketball-reference.com/players/g/gayru01.html,2007,20,17
Ryan Hollins,https://www.basketball-reference.com/players/h/holliry01.html,2007,22,10
Ersan İlyasova,https://www.basketball-reference.com/players/i/ilyaser01.html,2007,19,13
Kyle Lowry,https://www.basketball-reference.com/players/l/lowryky01.html,2007,20,19
Paul Millsap,https://www.basketball-reference.com/players/m/millspa01.html,2007,21,16
Steve Novak,https://www.basketball-reference.com/players/n/novakst01.html,2007,23,11
JJ Redick,https://www.basketball-reference.com/players/r/redicjj01.html,2007,22,15
Rajon Rondo,https://www.basketball-reference.com/players/r/rondora01.html,2007,20,16
Thabo Sefolosha,https://www.basketball-reference.com/players/s/sefolth01.html,2007,22,14
P.J. Tucker,https://www.basketball-reference.com/players/t/tuckepj01.html,2007,21,14
Arron Afflalo,https://www.basketball-reference.com/players/a/afflaar01.html,2008,22,11
Joel Anthony,https://www.basketball-reference.com/players/a/anthojo01.html,2008,25,10
Marco Belinelli,https://www.basketball-reference.com/players/b/belinma01.html,2008,21,13
Corey Brewer,https://www.basketball-reference.com/players/b/breweco01.html,2008,21,13
Aaron Brooks,https://www.basketball-reference.com/players/b/brookaa01.html,2008,23,10
Wilson Chandler,https://www.basketball-reference.com/players/c/chandwi01.html,2008,20,12
Mike Conley,https://www.basketball-reference.com/players/c/conlemi01.html,2008,20,18
Jared Dudley,https://www.basketball-reference.com/players/d/dudleja01.html,2008,22,14
Kevin Durant,https://www.basketball-reference.com/players/d/duranke01.html,2008,19,17
Marcin Gortat,https://www.basketball-reference.com/players/g/gortama01.html,2008,23,12
Jeff Green,https://www.basketball-reference.com/players/g/greenje02.html,2008,21,17
