name,url,rookie_year,rookie_age,years_played
Alexis Ajinça,https://www.basketball-reference.com/players/a/ajincal01.html,2009,20,7
Joe Alexander,https://www.basketball-reference.com/players/a/alexajo01.html,2009,22,2
Ryan Anderson,https://www.basketball-reference.com/players/a/anderry01.html,2009,20,12
Darrell Arthur,https://www.basketball-reference.com/players/a/arthuda01.html,2009,20,9
D.J. Augustin,https://www.basketball-reference.com/players/a/augusdj01.html,2009,21,14
Nicolas Batum,https://www.basketball-reference.com/players/b/batumni01.html,2009,20,17
Jerryd Bayless,https://www.basketball-reference.com/players/b/bayleje01.html,2009,20,11
Michael Beasley,https://www.basketball-reference.com/players/b/beaslmi01.html,2009,20,11
Bobby Brown,https://www.basketball-reference.com/players/b/brownbo02.html,2009,24,4
Mario Chalmers,https://www.basketball-reference.com/players/c/chalmma01.html,2009,22,9
Joe Crawford,https://www.basketball-reference.com/players/c/crawfjo01.html,2009,22,1
Joey Dorsey,https://www.basketball-reference.com/players/d/dorsejo01.html,2009,25,4
Chris Douglas-Roberts,https://www.basketball-reference.com/players/d/douglch01.html,2009,22,6
Goran Dragić,https://www.basketball-reference.com/players/d/dragigo01.html,2009,22,15
Rudy Fernández,https://www.basketball-reference.com/players/f/fernaru01.html,2009,23,4
Danilo Gallinari,https://www.basketball-reference.com/players/g/gallida01.html,2009,20,14
Marc Gasol,https://www.basketball-reference.com/players/g/gasolma01.html,2009,24,13
J.R. Giddens,https://www.basketball-reference.com/players/g/giddejr01.html,2009,23,2
Eric Gordon,https://www.basketball-reference.com/players/g/gordoer01.html,2009,20,17
Donté Greene,https://www.basketball-reference.com/players/g/greendo01.html,2009,20,4
Hamed Haddadi,https://www.basketball-reference.com/players/h/haddaha01.html,2009,23,5
Malik Hairston,https://www.basketball-reference.com/players/h/hairsma01.html,2009,21,2
Roy Hibbert,https://www.basketball-reference.com/players/h/hibbero01.html,2009,22,9
J.J. Hickson,https://www.basketball-reference.com/players/h/hicksjj01.html,2009,20,8
George Hill,https://www.basketball-reference.com/players/h/hillge01.html,2009,22,15
Steven Hill,https://www.basketball-reference.com/players/h/hillst01.html,2009,23,1
Othello Hunter,https://www.basketball-reference.com/players/h/hunteot01.html,2009,22,2
Darnell Jackson,https://www.basketball-reference.com/players/j/jacksda01.html,2009,23,3
Nathan Jawai,https://www.basketball-reference.com/players/j/jawaina01.html,2009,22,2
Dontell Jefferson,https://www.basketball-reference.com/players/j/jeffedo01.html,2009,25,1
Trey Johnson,https://www.basketball-reference.com/players/j/johnstr01.html,2009,24,3
DeAndre Jordan,https://www.basketball-reference.com/players/j/jordade01.html,2009,20,17
Kosta Koufos,https://www.basketball-reference.com/players/k/koufoko01.html,2009,19,11
Rob Kurz,https://www.basketball-reference.com/players/k/kurzro01.html,2009,23,1
Courtney Lee,https://www.basketball-reference.com/players/l/leeco01.html,2009,23,12
Brook Lopez,https://www.basketball-reference.com/players/l/lopezbr01.html,2009,20,17
Robin Lopez,https://www.basketball-reference.com/players/l/lopezro01.html,2009,20,16
Kevin Love,https://www.basketball-reference.com/players/l/loveke01.html,2009,20,17
Cartier Martin,https://www.basketball-reference.com/players/m/martica01.html,2009,24,7
O.J. Mayo,https://www.basketball-reference.com/players/m/mayooj01.html,2009,21,8
Luc Mbah a Moute,https://www.basketball-reference.com/players/m/mbahalu01.html,2009,22,12
JaVale McGee,https://www.basketball-reference.com/players/m/mcgeeja01.html,2009,21,16
Anthony Morrow,https://www.basketball-reference.com/players/m/morroan01.html,2009,23,9
DeMarcus Nelson,https://www.basketball-reference.com/players/n/nelsode01.html,2009,23,1
Greg Oden,https://www.basketball-reference.com/players/o/odengr01.html,2009,21,3
Anthony Randolph,https://www.basketball-reference.com/players/r/randoan01.html,2009,19,6
Derrick Rose,https://www.basketball-reference.com/players/r/rosede01.html,2009,20,15
Brandon Rush,https://www.basketball-reference.com/players/r/rushbr01.html,2009,23,9
Walter Sharpe,https://www.basketball-reference.com/players/s/sharpwa01.html,2009,22,1
Sean Singletary,https://www.basketball-reference.com/players/s/singlse01.html,2009,23,1
Marreese Speights,https://www.basketball-reference.com/players/s/speigma01.html,2009,21,10
Mike Taylor,https://www.basketball-reference.com/players/t/taylomi01.html,2009,23,1
Jason Thompson,https://www.basketball-reference.com/players/t/thompja02.html,2009,22,8
Anthony Tolliver,https://www.basketball-reference.com/players/t/tollian01.html,2009,23,13
Roko Ukić,https://www.basketball-reference.com/players/u/ukicro01.html,2009,24,2
Henry Walker,https://www.basketball-reference.com/players/w/walkebi01.html,2009,21,5
Kyle Weaver,https://www.basketball-reference.com/players/w/weaveky01.html,2009,22,3
Sonny Weems,https://www.basketball-reference.com/players/w/weemsso01.html,2009,22,4
Russell Westbrook,https://www.basketball-reference.com/players/w/westbru01.html,2009,20,17
D.J. White,https://www.basketball-reference.com/players/w/whitedj01.html,2009,22,6
Jawad Williams,https://www.basketball-reference.com/players/w/willija04.html,2009,25,3
Sun Yue,https://www.basketball-reference.com/players/y/yuesu01.html,2009,23,1
David Andersen,https://www.basketball-reference.com/players/a/anderda03.html,2010,29,2
Antonio Anderson,https://www.basketball-reference.com/players/a/anderan02.html,2010,24,1
Jeff Ayres,https://www.basketball-reference.com/players/p/pendeje02.html,2010,22,6
Rodrigue Beaubois,https://www.basketball-reference.com/players/b/beaubro01.html,2010,21,4
DeJuan Blair,https://www.basketball-reference.com/players/b/blairde01.html,2010,20,7
Jon Brockman,https://www.basketball-reference.com/players/b/brockjo01.html,2010,22,3
Derrick Brown,https://www.basketball-reference.com/players/b/brownde04.html,2010,22,3
Chase Budinger,https://www.basketball-reference.com/players/b/budinch01.html,2010,21,7
DeMarre Carroll,https://www.basketball-reference.com/players/c/carrode01.html,2010,23,11
Omri Casspi,https://www.basketball-reference.com/players/c/casspom01.html,2010,21,10
Earl Clark,https://www.basketball-reference.com/players/c/clarkea01.html,2010,22,6
Darren Collison,https://www.basketball-reference.com/players/c/collida01.html,2010,22,11
Dante Cunningham,https://www.basketball-reference.com/players/c/cunnida01.html,2010,22,10
JamesOn Curry,https://www.basketball-reference.com/players/c/curryja01.html,2010,24,1
Stephen Curry,https://www.basketball-reference.com/players/c/curryst01.html,2010,21,16
Austin Daye,https://www.basketball-reference.com/players/d/dayeau01.html,2010,21,6
DeMar DeRozan,https://www.basketball-reference.com/players/d/derozde01.html,2010,20,16
Toney Douglas,https://www.basketball-reference.com/players/d/douglto01.html,2010,23,8
Wayne Ellington,https://www.basketball-reference.com/players/e/ellinwa01.html,2010,22,13
Tyreke Evans,https://www.basketball-reference.com/players/e/evansty01.html,2010,20,10
Jonny Flynn,https://www.basketball-reference.com/players/f/flynnjo01.html,2010,20,3
Sundiata Gaines,https://www.basketball-reference.com/players/g/gainesu01.html,2010,23,3
Alonzo Gee,https://www.basketball-reference.com/players/g/geeal01.html,2010,22,8
Taj Gibson,https://www.basketball-reference.com/players/g/gibsota01.html,2010,24,16
Trey Gilder,https://www.basketball-reference.com/players/g/gildetr01.html,2010,25,1
Danny Green,https://www.basketball-reference.com/players/g/greenda02.html,2010,22,15
Taylor Griffin,https://www.basketball-reference.com/players/g/griffta01.html,2010,23,1
Tyler Hansbrough,https://www.basketball-reference.com/players/h/hansbty01.html,2010,24,7
James Harden,https://www.basketball-reference.com/players/h/hardeja01.html,2010,20,16
Gerald Henderson,https://www.basketball-reference.com/players/h/hendege02.html,2010,22,8
Jordan Hill,https://www.basketball-reference.com/players/h/hilljo01.html,2010,22,8
Jrue Holiday,https://www.basketball-reference.com/players/h/holidjr01.html,2010,19,16
Lester Hudson,https://www.basketball-reference.com/players/h/hudsole01.html,2010,25,4
Chris Hunter,https://www.basketball-reference.com/players/h/huntech01.html,2010,25,1
Serge Ibaka,https://www.basketball-reference.com/players/i/ibakase01.html,2010,20,14
Cedric Jackson,https://www.basketball-reference.com/players/j/jacksce01.html,2010,23,1
Othyus Jeffers,https://www.basketball-reference.com/players/j/jeffeot01.html,2010,24,3
Brandon Jennings,https://www.basketball-reference.com/players/j/jennibr01.html,2010,20,9
Jonas Jerebko,https://www.basketball-reference.com/players/j/jerebjo01.html,2010,22,9
James Johnson,https://www.basketball-reference.com/players/j/johnsja01.html,2010,22,16
Oliver Lafayette,https://www.basketball-reference.com/players/l/lafayol01.html,2010,25,1
Marcus Landry,https://www.basketball-reference.com/players/l/landrma01.html,2010,24,1
Ty Lawson,https://www.basketball-reference.com/players/l/lawsoty01.html,2010,22,8
Wesley Matthews,https://www.basketball-reference.com/players/m/matthwe02.html,2010,23,15
Eric Maynor,https://www.basketball-reference.com/players/m/maynoer01.html,2010,22,5
Jodie Meeks,https://www.basketball-reference.com/players/m/meeksjo01.html,2010,22,10
Patty Mills,https://www.basketball-reference.com/players/m/millspa02.html,2010,21,16
Byron Mullens,https://www.basketball-reference.com/players/m/mulleby01.html,2010,20,5
A.J. Price,https://www.basketball-reference.com/players/p/priceaj01.html,2010,23,6
DaJuan Summers,https://www.basketball-reference.com/players/s/summeda01.html,2010,22,4
Jermaine Taylor,https://www.basketball-reference.com/players/t/tayloje02.html,2010,23,2
Jeff Teague,https://www.basketball-reference.com/players/t/teaguje01.html,2010,21,12
Garrett Temple,https://www.basketball-reference.com/players/t/templga01.html,2010,23,15
Hasheem Thabeet,https://www.basketball-reference.com/players/t/thabeha01.html,2010,22,5
Marcus Thornton,https://www.basketball-reference.com/players/t/thornma01.html,2010,22,8
Reggie Williams,https://www.basketball-reference.com/players/w/willire02.html,2010,23,7
Terrence Williams,https://www.basketball-reference.com/players/w/willite01.html,2010,22,4
Sam Young,https://www.basketball-reference.com/players/y/youngsa01.html,2010,24,4
Jeff Adrien,https://www.basketball-reference.com/players/a/adrieje01.html,2011,24,5
Solomon Alabi,https://www.basketball-reference.com/players/a/alabiso01.html,2011,22,2
Cole Aldrich,https://www.basketball-reference.com/players/a/aldrico01.html,2011,22,8
Al-Farouq Aminu,https://www.basketball-reference.com/players/a/aminual01.html,2011,20,11
